obs_id,station_id,station_name,climate_zone,latitude,longitude,elevation_m,timestamp,date,hour_of_day,month,day_of_week,is_weekend,season,temperature_c,feels_like_c,dew_point_c,humidity_pct,pressure_hpa,wind_speed_kmh,wind_direction_deg,wind_gust_kmh,precipitation_mm,precipitation_type,cloud_cover_pct,visibility_km,uv_index,is_thunderstorm,weather_condition,road_surface,outdoor_suitability_score,umbrella_needed,clothing_recommendation,recommendation_headline,recommendation_text
OBS-0000011,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 10:00:00,2025-01-01,10,1,2,0,winter,-1.7,-7.1,-2.5,94.0,1004.4,18.0,136,25.8,0.5,snow,60,13.5,0.9,0,snow,icy,0,0,winter_coat_scarf_gloves,Snowfall,Roads may be slippery — allow extra travel time. Wear winter coat scarf gloves (feels like -7.1°C). Wind chill below freezing — dress warmly.
OBS-0000012,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 11:00:00,2025-01-01,11,1,2,0,winter,-1.3,-6.0,-3.4,85.3,995.2,14.9,91,23.9,0.4,snow,76,26.0,0.8,0,snow,icy,0,0,winter_coat_scarf_gloves,Snowfall,Roads may be slippery — allow extra travel time. Wear winter coat scarf gloves (feels like -6.0°C). Wind chill below freezing — dress warmly.
OBS-0000013,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 12:00:00,2025-01-01,12,1,2,0,winter,-1.2,-1.7,-6.5,67.0,995.5,3.0,271,4.8,0.6,snow,83,20.0,0.8,0,snow,icy,2,0,winter_coat_scarf_gloves,Snowfall,Roads may be slippery — allow extra travel time. Wear winter coat scarf gloves (feels like -1.7°C). Wind chill below freezing — dress warmly.
OBS-0000014,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 13:00:00,2025-01-01,13,1,2,0,winter,-0.7,-3.1,-1.5,94.5,1006.3,6.7,123,8.4,0.1,snow,79,17.1,0.9,0,snow,icy,2,0,winter_coat_scarf_gloves,Snowfall,Roads may be slippery — allow extra travel time. Wear winter coat scarf gloves (feels like -3.1°C). Wind chill below freezing — dress warmly.
OBS-0000015,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 14:00:00,2025-01-01,14,1,2,0,winter,-3.2,11.1,-5.1,86.6,998.6,0,135,0.0,0.3,snow,68,20.2,1.0,0,snow,icy,2,0,light_jacket_or_sweater,Snowfall,Roads may be slippery — allow extra travel time. Wear light jacket or sweater (feels like 11.1°C).
OBS-0000016,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 15:00:00,2025-01-01,15,1,2,0,winter,-1.4,-1.5,-3.7,84.1,994.4,2.4,343,3.3,0.3,snow,79,8.0,0.8,0,snow,icy,2,0,winter_coat_scarf_gloves,Snowfall,Roads may be slippery — allow extra travel time. Wear winter coat scarf gloves (feels like -1.5°C). Wind chill below freezing — dress warmly.
OBS-0000017,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 16:00:00,2025-01-01,16,1,2,0,winter,-4.3,-7.7,-8.6,71.8,997.3,7.8,323,9.6,0.0,none,97,6.7,0.5,0,cloudy,dry,6,0,winter_coat_scarf_gloves,Overcast,Wear winter coat scarf gloves (feels like -7.7°C). Wind chill below freezing — dress warmly.
OBS-0000018,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 17:00:00,2025-01-01,17,1,2,0,winter,-5.3,-9.1,-10.0,69.7,995.9,8.5,67,13.4,0.4,snow,91,11.1,0.4,0,snow,icy,0,0,winter_coat_scarf_gloves,Snowfall,Roads may be slippery — allow extra travel time. Wear winter coat scarf gloves (feels like -9.1°C). Wind chill below freezing — dress warmly.
OBS-0000019,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 18:00:00,2025-01-01,18,1,2,0,winter,-7.8,8.3,-11.6,74.2,999.8,0,239,0.0,0.6,snow,66,6.4,0.5,0,snow,icy,2,0,light_jacket_or_sweater,Snowfall,Roads may be slippery — allow extra travel time. Wear light jacket or sweater (feels like 8.3°C).
OBS-0000020,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 19:00:00,2025-01-01,19,1,2,0,winter,-7.6,-8.0,-9.6,85.5,994.9,2.3,97,4.4,0.1,snow,66,16.6,0.2,0,snow,icy,0,0,winter_coat_scarf_gloves,Snowfall,Roads may be slippery — allow extra travel time. Wear winter coat scarf gloves (feels like -8.0°C). Wind chill below freezing — dress warmly.
OBS-0000021,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 20:00:00,2025-01-01,20,1,2,0,winter,-8.7,7.7,-14.5,62.6,992.5,0,7,0.0,0.6,snow,95,28.2,0.0,0,snow,icy,2,0,warm_jacket_layers,Snowfall,Roads may be slippery — allow extra travel time. Wear warm jacket layers (feels like 7.7°C).
OBS-0000022,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 21:00:00,2025-01-01,21,1,2,0,winter,-9.2,-16.6,-14.1,67.5,987.1,18.5,84,28.9,0.2,snow,85,24.6,0,0,snow,icy,0,0,heavy_winter_coat_gloves_hat,Snowfall,Roads may be slippery — allow extra travel time. Wear heavy winter coat gloves hat (feels like -16.6°C). Dangerously cold wind chill — limit time outdoors.
OBS-0000023,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 22:00:00,2025-01-01,22,1,2,0,winter,-8.9,-12.6,-12.5,74.8,997.9,6.7,111,10.9,0.6,snow,95,19.5,0,0,snow,icy,0,0,heavy_winter_coat_gloves_hat,Snowfall,Roads may be slippery — allow extra travel time. Wear heavy winter coat gloves hat (feels like -12.6°C). Dangerously cold wind chill — limit time outdoors.
OBS-0000024,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-01 23:00:00,2025-01-01,23,1,2,0,winter,-11.0,-17.2,-13.7,80.4,1004.6,12.1,271,20.3,0.1,snow,92,9.6,0,0,snow,icy,0,0,heavy_winter_coat_gloves_hat,Snowfall,Roads may be slippery — allow extra travel time. Wear heavy winter coat gloves hat (feels like -17.2°C). Dangerously cold wind chill — limit time outdoors.
OBS-0000025,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 00:00:00,2025-01-02,0,1,3,0,winter,-4.3,-8.8,-9.8,65.6,993.8,11.2,20,18.1,0,none,15,19.6,0,0,clear,dry,6,0,winter_coat_scarf_gloves,Clear skies,Wear winter coat scarf gloves (feels like -8.8°C). Wind chill below freezing — dress warmly.
OBS-0000026,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 01:00:00,2025-01-02,1,1,3,0,winter,-4.7,-8.4,-9.8,67.4,1001.2,8.5,67,12.2,0,none,13,21.8,0,0,clear,dry,6,0,winter_coat_scarf_gloves,Clear skies,Wear winter coat scarf gloves (feels like -8.4°C). Wind chill below freezing — dress warmly.
OBS-0000027,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 02:00:00,2025-01-02,2,1,3,0,winter,-4.2,-10.0,-18.1,32.9,999.5,17.0,288,24.0,0,none,29,10.3,0,0,clear,dry,6,0,winter_coat_scarf_gloves,Clear skies,Wear winter coat scarf gloves (feels like -10.0°C). Wind chill below freezing — dress warmly.
OBS-0000028,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 03:00:00,2025-01-02,3,1,3,0,winter,-2.9,-7.1,-8.1,67.3,999.7,11.2,278,18.9,0,none,4,22.6,0,0,clear,dry,6,0,winter_coat_scarf_gloves,Clear skies,Wear winter coat scarf gloves (feels like -7.1°C). Wind chill below freezing — dress warmly.
OBS-0000029,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 04:00:00,2025-01-02,4,1,3,0,winter,-0.7,-1.8,-16.0,30.3,1005.7,3.9,339,7.5,0,none,35,11.6,0,0,clear,dry,8,0,winter_coat_scarf_gloves,Clear skies,Wear winter coat scarf gloves (feels like -1.8°C). Wind chill below freezing — dress warmly.
OBS-0000030,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 05:00:00,2025-01-02,5,1,3,0,winter,0.4,13.4,-6.5,59.7,992.7,0,104,0.0,0,none,9,22.2,0,0,clear,dry,10,0,light_jacket_or_sweater,Clear skies,Wear light jacket or sweater (feels like 13.4°C).
OBS-0000031,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 06:00:00,2025-01-02,6,1,3,0,winter,0.1,1.4,-5.4,66.3,998.3,1.3,216,1.7,0,none,3,13.3,0,0,clear,dry,10,0,warm_jacket_layers,Clear skies,Wear warm jacket layers (feels like 1.4°C).
OBS-0000032,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 07:00:00,2025-01-02,7,1,3,0,winter,1.8,0.0,-3.2,69.2,995.9,6.1,4,11.9,0,none,10,7.8,0.4,0,clear,dry,10,0,warm_jacket_layers,Clear skies,Wear warm jacket layers (feels like 0.0°C).
OBS-0000033,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 08:00:00,2025-01-02,8,1,3,0,winter,3.0,1.4,-12.3,31.4,996.3,6.1,75,11.9,0,none,23,14.1,0.8,0,clear,dry,10,0,warm_jacket_layers,Clear skies,Wear warm jacket layers (feels like 1.4°C).
OBS-0000034,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 09:00:00,2025-01-02,9,1,3,0,winter,4.3,1.0,-0.9,68.9,1001.2,14.4,52,23.7,0,none,2,13.8,1.3,0,clear,dry,10,0,warm_jacket_layers,Clear skies,Wear warm jacket layers (feels like 1.0°C).
OBS-0000035,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 10:00:00,2025-01-02,10,1,3,0,winter,6.5,6.5,-0.7,60.0,998.4,3.4,90,5.0,0,none,15,23.4,1.5,0,clear,dry,10,0,warm_jacket_layers,Clear skies,Wear warm jacket layers (feels like 6.5°C).
OBS-0000036,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 11:00:00,2025-01-02,11,1,3,0,winter,5.4,4.7,-0.2,67.2,995.3,4.6,19,6.3,0,none,15,26.5,1.7,0,clear,dry,10,0,warm_jacket_layers,Clear skies,Wear warm jacket layers (feels like 4.7°C).
OBS-0000037,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 12:00:00,2025-01-02,12,1,3,0,winter,6.0,16.8,-5.9,42.2,999.1,0,337,0.0,0,none,14,26.6,1.9,0,clear,dry,10,0,long_sleeves_light_layer,Clear skies,Wear long sleeves light layer (feels like 16.8°C).
OBS-0000038,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 13:00:00,2025-01-02,13,1,3,0,winter,6.2,3.7,-6.0,41.2,996.8,12.1,14,23.9,0,none,32,7.9,1.6,0,clear,dry,10,0,warm_jacket_layers,Clear skies,Wear warm jacket layers (feels like 3.7°C).
OBS-0000039,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 14:00:00,2025-01-02,14,1,3,0,winter,5.9,2.1,-6.5,40.6,997.0,20.5,176,33.0,0,none,6,20.2,2.0,0,clear,dry,10,0,warm_jacket_layers,Clear skies,Wear warm jacket layers (feels like 2.1°C).
OBS-0000040,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 15:00:00,2025-01-02,15,1,3,0,winter,3.5,1.4,-7.2,45.4,999.1,8.0,266,13.0,0,none,36,28.1,1.4,0,clear,dry,10,0,warm_jacket_layers,Clear skies,Wear warm jacket layers (feels like 1.4°C).
OBS-0000041,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 16:00:00,2025-01-02,16,1,3,0,winter,2.9,14.9,-4.8,56.8,1003.7,0,340,0.0,0,none,23,21.6,1.4,0,clear,dry,10,0,light_jacket_or_sweater,Clear skies,Wear light jacket or sweater (feels like 14.9°C).
OBS-0000042,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 17:00:00,2025-01-02,17,1,3,0,winter,1.4,4.6,-4.2,66.0,1000.3,0.4,151,0.5,0,none,32,18.9,1.0,0,clear,dry,10,0,warm_jacket_layers,Clear skies,Wear warm jacket layers (feels like 4.6°C).
OBS-0000043,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 18:00:00,2025-01-02,18,1,3,0,winter,0.3,-1.2,-6.6,59.9,989.7,5.0,154,6.8,0,none,11,12.6,0.8,0,clear,dry,10,0,winter_coat_scarf_gloves,Clear skies,Wear winter coat scarf gloves (feels like -1.2°C). Wind chill below freezing — dress warmly.
OBS-0000044,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 19:00:00,2025-01-02,19,1,3,0,winter,0.2,-1.1,-6.3,61.4,998.8,4.5,109,8.3,0,none,38,17.8,0.3,0,clear,dry,10,0,winter_coat_scarf_gloves,Clear skies,Wear winter coat scarf gloves (feels like -1.1°C). Wind chill below freezing — dress warmly.
OBS-0000045,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 20:00:00,2025-01-02,20,1,3,0,winter,-0.6,-2.6,-8.2,56.4,996.0,5.7,324,7.9,0,none,18,28.8,0.0,0,clear,dry,8,0,winter_coat_scarf_gloves,Clear skies,Wear winter coat scarf gloves (feels like -2.6°C). Wind chill below freezing — dress warmly.
OBS-0000046,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 21:00:00,2025-01-02,21,1,3,0,winter,-3.1,-8.4,-14.1,42.4,1001.7,16.0,312,20.1,0,none,12,26.2,0,0,clear,dry,6,0,winter_coat_scarf_gloves,Clear skies,Wear winter coat scarf gloves (feels like -8.4°C). Wind chill below freezing — dress warmly.
OBS-0000047,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 22:00:00,2025-01-02,22,1,3,0,winter,-4.6,-9.1,-16.8,37.8,1002.2,11.0,124,20.8,0,none,24,27.3,0,0,clear,dry,6,0,winter_coat_scarf_gloves,Clear skies,Wear winter coat scarf gloves (feels like -9.1°C). Wind chill below freezing — dress warmly.
OBS-0000048,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-02 23:00:00,2025-01-02,23,1,3,0,winter,-3.2,-5.7,-8.8,65.4,990.3,5.9,237,8.3,0,none,27,6.3,0,0,clear,dry,6,0,winter_coat_scarf_gloves,Clear skies,Wear winter coat scarf gloves (feels like -5.7°C). Wind chill below freezing — dress warmly.
OBS-0000049,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-03 00:00:00,2025-01-03,0,1,4,0,winter,-9.5,-17.0,-16.5,56.7,994.3,19.0,313,36.4,0,none,35,25.4,0,0,clear,dry,6,0,heavy_winter_coat_gloves_hat,Clear skies,Wear heavy winter coat gloves hat (feels like -17.0°C). Dangerously cold wind chill — limit time outdoors.
OBS-0000050,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-03 01:00:00,2025-01-03,1,1,4,0,winter,-10.2,-17.2,-19.1,47.8,989.6,16.0,243,22.7,0,none,10,26.0,0,0,clear,dry,4,0,heavy_winter_coat_gloves_hat,Clear skies,Wear heavy winter coat gloves hat (feels like -17.2°C). Dangerously cold wind chill — limit time outdoors.
OBS-0000051,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-03 02:00:00,2025-01-03,2,1,4,0,winter,-7.7,-12.2,-13.9,61.1,999.6,9.1,146,13.4,0,none,31,10.9,0,0,clear,dry,6,0,heavy_winter_coat_gloves_hat,Clear skies,Wear heavy winter coat gloves hat (feels like -12.2°C). Dangerously cold wind chill — limit time outdoors.
OBS-0000052,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-03 03:00:00,2025-01-03,3,1,4,0,winter,-7.1,-11.5,-19.6,36.0,1002.3,9.1,109,13.9,0,none,24,18.6,0,0,clear,dry,6,0,heavy_winter_coat_gloves_hat,Clear skies,Wear heavy winter coat gloves hat (feels like -11.5°C). Dangerously cold wind chill — limit time outdoors.
OBS-0000053,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-03 04:00:00,2025-01-03,4,1,4,0,winter,-6.0,-9.5,-17.9,38.3,985.6,7.3,10,13.2,0,none,26,26.4,0,0,clear,dry,6,0,winter_coat_scarf_gloves,Clear skies,Wear winter coat scarf gloves (feels like -9.5°C). Wind chill below freezing — dress warmly.
OBS-0000054,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-03 05:00:00,2025-01-03,5,1,4,0,winter,-5.1,-10.3,-15.4,44.1,989.7,13.2,214,25.3,0,none,24,25.0,0,0,clear,dry,6,0,heavy_winter_coat_gloves_hat,Clear skies,Wear heavy winter coat gloves hat (feels like -10.3°C). Dangerously cold wind chill — limit time outdoors.
OBS-0000055,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-03 06:00:00,2025-01-03,6,1,4,0,winter,-4.1,-8.5,-13.1,49.5,998.4,11.0,347,19.6,0,none,17,25.0,0,0,clear,dry,6,0,winter_coat_scarf_gloves,Clear skies,Wear winter coat scarf gloves (feels like -8.5°C). Wind chill below freezing — dress warmly.
OBS-0000056,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-03 07:00:00,2025-01-03,7,1,4,0,winter,-1.5,12.2,-6.4,69.2,991.4,0,201,0.0,0,none,34,7.1,0.4,0,clear,dry,8,0,light_jacket_or_sweater,Clear skies,Wear light jacket or sweater (feels like 12.2°C).
OBS-0000057,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-03 08:00:00,2025-01-03,8,1,4,0,winter,-1.9,11.9,-7.7,64.7,1000.0,0,167,0.0,0,none,11,13.4,0.8,0,clear,dry,8,0,light_jacket_or_sweater,Clear skies,Wear light jacket or sweater (feels like 11.9°C).
OBS-0000058,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-03 09:00:00,2025-01-03,9,1,4,0,winter,-0.6,-5.9,-10.5,46.9,1009.2,19.1,276,24.0,0,none,5,10.6,1.3,0,clear,dry,6,0,winter_coat_scarf_gloves,Clear skies,Wear winter coat scarf gloves (feels like -5.9°C). Wind chill below freezing — dress warmly.
OBS-0000059,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-03 10:00:00,2025-01-03,10,1,4,0,winter,1.2,-2.8,-4.0,68.3,996.5,14.5,10,20.2,0,none,2,20.5,1.6,0,clear,dry,10,0,winter_coat_scarf_gloves,Clear skies,Wear winter coat scarf gloves (feels like -2.8°C). Wind chill below freezing — dress warmly.
OBS-0000060,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-03 11:00:00,2025-01-03,11,1,4,0,winter,0.6,-2.8,-4.6,67.9,1001.0,10.9,188,14.1,0,none,29,23.7,1.5,0,clear,dry,10,0,winter_coat_scarf_gloves,Clear skies,Wear winter coat scarf gloves (feels like -2.8°C). Wind chill below freezing — dress warmly.
OBS-0000061,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-03 12:00:00,2025-01-03,12,1,4,0,winter,2.2,0.5,-4.1,62.8,998.3,5.9,346,8.9,0,none,19,27.7,1.8,0,clear,dry,10,0,warm_jacket_layers,Clear skies,Wear warm jacket layers (feels like 0.5°C).
OBS-0000062,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-03 13:00:00,2025-01-03,13,1,4,0,winter,1.5,1.7,-6.9,53.7,999.0,2.4,356,3.1,0,none,40,20.0,1.5,0,clear,dry,10,0,warm_jacket_layers,Clear skies,Wear warm jacket layers (feels like 1.7°C).
OBS-0000063,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-03 14:00:00,2025-01-03,14,1,4,0,winter,-1.0,0.9,-5.9,69.4,999.7,0.9,259,1.1,0,none,2,21.2,2.0,0,clear,dry,8,0,warm_jacket_layers,Clear skies,Wear warm jacket layers (feels like 0.9°C).
OBS-0000064,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-03 15:00:00,2025-01-03,15,1,4,0,winter,-1.1,-5.2,-10.9,47.3,996.2,12.3,235,24.3,0,none,23,23.3,1.6,0,clear,dry,6,0,winter_coat_scarf_gloves,Clear skies,Wear winter coat scarf gloves (feels like -5.2°C). Wind chill below freezing — dress warmly.
OBS-0000065,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-03 16:00:00,2025-01-03,16,1,4,0,winter,-2.1,-2.3,-13.6,40.8,999.6,2.5,303,4.7,0,none,34,11.7,1.2,0,clear,dry,8,0,winter_coat_scarf_gloves,Clear skies,Wear winter coat scarf gloves (feels like -2.3°C). Wind chill below freezing — dress warmly.
OBS-0000066,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-03 17:00:00,2025-01-03,17,1,4,0,winter,-2.3,-5.9,-7.9,65.3,993.8,9.4,291,17.7,0,none,15,5.7,1.2,0,clear,dry,6,0,winter_coat_scarf_gloves,Clear skies,Wear winter coat scarf gloves (feels like -5.9°C). Wind chill below freezing — dress warmly.
OBS-0000067,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-03 18:00:00,2025-01-03,18,1,4,0,winter,-4.3,-6.5,-16.7,37.3,1001.6,5.1,305,7.2,0,none,13,22.5,0.8,0,clear,dry,6,0,winter_coat_scarf_gloves,Clear skies,Wear winter coat scarf gloves (feels like -6.5°C). Wind chill below freezing — dress warmly.
OBS-0000068,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-03 19:00:00,2025-01-03,19,1,4,0,winter,-3.1,-6.4,-16.9,33.4,995.0,8.1,123,14.9,0,none,26,17.3,0.4,0,clear,dry,6,0,winter_coat_scarf_gloves,Clear skies,Wear winter coat scarf gloves (feels like -6.4°C). Wind chill below freezing — dress warmly.
OBS-0000069,WS-001,Sivas Merkez,semi-arid_continental,39.748,37.016,1285,2025-01-03 20:00:00,2025-01-03,20,1,4,0,winter,-7.4,-10.7,-20.6,33.7,1005.0,6.4,188,10.4,0,none,14,16.8,0.0,0,clear,dry,6,0,heavy_winter_coat_gloves_hat,Clear skies,Wear heavy winter coat gloves hat (feels like -10.7°C). Dangerously cold wind chill — limit time outdoors.
